date,area_type,area_code,area_name,metric,metric_name,value
2020-06-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1319.0
2020-06-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,64.0
2020-06-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-06-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,38.0
2020-06-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,71.0
2020-06-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1365.0
2020-06-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,34.0
2020-06-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1251.0
2020-06-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,74.0
2020-06-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,59.0
2020-06-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1147.0
2020-06-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-06-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1020.0
2020-06-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,55.0
2020-06-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,723.0
2020-06-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-06-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,51.0
2020-06-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,34.0
2020-06-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-06-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,668.0
2020-06-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,990.0
2020-06-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-06-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,74.0
2020-06-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1066.0
2020-06-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-06-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,62.0
2020-06-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,67.0
2020-06-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,29.0
2020-06-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-06-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1086.0
2020-06-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-06-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,66.0
2020-06-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,915.0
2020-06-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,938.0
2020-06-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-06-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,75.0
2020-06-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,785.0
2020-06-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-06-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,66.0
2020-06-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-06-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-06-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,54.0
2020-06-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-06-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,752.0
2020-06-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,21.0
2020-06-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,944.0
2020-06-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,66.0
2020-06-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-06-16,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-16,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,82.0
2020-06-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,996.0
2020-06-16,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-17,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,914.0
2020-06-17,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,33.0
2020-06-17,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,64.0
2020-06-17,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,6.0
2020-06-18,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-18,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-06-18,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,938.0
2020-06-18,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,62.0
2020-06-19,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,140.0
2020-06-19,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-06-19,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-19,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,818.0
2020-06-20,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-06-20,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,626.0
2020-06-20,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,47.0
2020-06-20,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6.0
2020-06-21,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-06-21,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1.0
2020-06-21,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,76.0
2020-06-21,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,550.0
2020-06-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-06-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,821.0
2020-06-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-22,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,66.0
2020-06-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,131.0
2020-06-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,20.0
2020-06-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-06-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,727.0
2020-06-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,0.0
2020-06-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,732.0
2020-06-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,37.0
2020-06-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,60.0
2020-06-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,643.0
2020-06-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-06-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-06-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1.0
2020-06-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6.0
2020-06-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,640.0
2020-06-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-06-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,506.0
2020-06-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-06-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,140.0
2020-06-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-06-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-06-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-06-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,28.0
2020-06-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,413.0
2020-06-29,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,666.0
2020-06-29,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,43.0
2020-06-29,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-06-29,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1.0
2020-06-30,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-06-30,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-30,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,578.0
2020-06-30,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,607.0
2020-07-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-07-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,28.0
2020-07-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,561.0
2020-07-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,536.0
2020-07-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-07-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,6.0
2020-07-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,385.0
2020-07-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-07-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-07-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1.0
2020-07-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-07-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,544.0
2020-07-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,0.0
2020-07-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-07-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,664.0
2020-07-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-07-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,29.0
2020-07-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,565.0
2020-07-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,682.0
2020-07-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-07-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,688.0
2020-07-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-07-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-07-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-07-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,524.0
2020-07-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,29.0
2020-07-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-07-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-07-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,432.0
2020-07-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,351.0
2020-07-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-07-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,694.0
2020-07-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-07-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,661.0
2020-07-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,726.0
2020-07-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-07-16,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,21.0
2020-07-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,644.0
2020-07-16,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-07-16,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,25.0
2020-07-17,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-17,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-17,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-07-17,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,548.0
2020-07-18,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,473.0
2020-07-18,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-07-18,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-18,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-19,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-07-19,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2.0
2020-07-19,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-07-19,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,419.0
2020-07-20,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,769.0
2020-07-20,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-07-20,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,43.0
2020-07-20,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-21,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-07-21,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-21,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,697.0
2020-07-21,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,61.0
2020-07-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,764.0
2020-07-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-07-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-22,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,25.0
2020-07-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,31.0
2020-07-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,741.0
2020-07-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,720.0
2020-07-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-07-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,499.0
2020-07-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-07-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,518.0
2020-07-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,824.0
2020-07-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-07-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,796.0
2020-07-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-07-29,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-29,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-29,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-07-29,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,994.0
2020-07-30,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,28.0
2020-07-30,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-30,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,879.0
2020-07-30,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-31,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,644.0
2020-07-31,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-31,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-31,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-08-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-08-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,508.0
2020-08-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-08-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-08-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-08-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-08-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,518.0
2020-08-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-08-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-08-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,60.0
2020-08-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,15.0
2020-08-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,963.0
2020-08-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-08-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,20.0
2020-08-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,57.0
2020-08-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,965.0
2020-08-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-08-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,973.0
2020-08-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,65.0
2020-08-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,31.0
2020-08-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,63.0
2020-08-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-08-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1005.0
2020-08-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,15.0
2020-08-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-08-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-08-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-08-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,892.0
2020-08-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,5.0
2020-08-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,648.0
2020-08-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-08-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-08-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,26.0
2020-08-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,569.0
2020-08-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-08-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-08-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,47.0
2020-08-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-08-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1375.0
2020-08-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,58.0
2020-08-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,65.0
2020-08-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-08-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1247.0
